"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"52","5","414.l.782339.t.4","Herbed Lamb","414.p.31857","Brown","Marquise","83.4","9.0","$4.1","100%"
"53","5","414.l.782339.t.5","Secret Hitler","414.p.33500","St. Brown","Amon-Ra","65.8","7.2","$7.8","100%"
"54","5","414.l.782339.t.6","Sun God","414.p.31919","Harris","Damien","76.3","8.3","$6.1","100%"
"55","5","414.l.782339.t.7","Excelsior","414.p.30423","Ekeler","Austin","4.6","1.0","$60.4","100%"
"56","5","414.l.782339.t.8","Fly Ravens Fly","414.p.31002","Jackson","Lamar","42.1","4.8","$14.8","100%"
"57","5","414.l.782339.t.9","Candyman","414.p.33415","Bateman","Rashod","83.1","9.0","$4.4","100%"
"58","5","414.l.782339.t.10","KYLE","414.p.33422","Moore","Elijah","95.2","10.2","$2.9","100%"
"59","5","414.l.782339.t.11","Pound Foolish","414.p.31896","Metcalf","DK","58.9","6.5","$8.8","100%"
"60","5","414.l.782339.t.12","Team Triple D","414.p.31868","Samuel","Deebo","23.0","2.9","$35.0","100%"
"61","6","414.l.782339.t.12","Team Triple D","414.p.32685","Jeudy","Jerry","66.9","7.4","$6.3","100%"
"62","6","414.l.782339.t.11","Pound Foolish","414.p.30997","Penny","Rashaad","86.1","9.3","$5.3","100%"
"63","6","414.l.782339.t.10","KYLE","414.p.32723","Hurts","Jalen","58.5","6.5","$7.6","100%"
"64","6","414.l.782339.t.9","Candyman","414.p.33508","Stevenson","Rhamondre","90.1","9.7","$5.2","100%"
"65","6","414.l.782339.t.8","Fly Ravens Fly","414.p.31107","Schultz","Dalton","56.5","6.3","$7.8","100%"
"66","6","414.l.782339.t.7","Excelsior","414.p.32702","Edwards-Helaire","Clyde","75.2","8.2","$6.1","100%"
"67","6","414.l.782339.t.6","Sun God","414.p.31019","Goedert","Dallas","65.8","7.3","$4.3","100%"
"68","6","414.l.782339.t.5","Secret Hitler","414.p.29281","Thomas","Michael","78.4","8.5","$6.5","100%"
"69","6","414.l.782339.t.4","Herbed Lamb","414.p.32736","Gibson","Antonio","72.6","7.8","$14.1","100%"
"70","6","414.l.782339.t.3","Mr. Glass","414.p.31960","Pollard","Tony","92.2","9.9","$4.2","100%"
"71","6","414.l.782339.t.2","Pratik Shah's Team","414.p.30197","Godwin","Chris","95.1","10.2","$5.1","97%"
"72","6","414.l.782339.t.1","Live Laugh Olave","414.p.31833","Murray","Kyler","58.8","6.5","$7.1","100%"
"73","7","414.l.782339.t.1","Live Laugh Olave","414.p.27277","Thielen","Adam","82.2","8.9","$4.2","100%"
"74","7","414.l.782339.t.2","Pratik Shah's Team","414.p.30199","Hunt","Kareem","97.7","10.5","$4.0","100%"
"75","7","414.l.782339.t.3","Mr. Glass","414.p.31017","Kirk","Christian","105.0","11.2","$2.7","92%"
"76","7","414.l.782339.t.4","Herbed Lamb","414.p.28392","Cooper","Amari","90.0","9.7","$5.0","100%"
"77","7","414.l.782339.t.5","Secret Hitler","414.p.31268","Lazard","Allen","105.9","11.3","$2.9","96%"
"78","7","414.l.782339.t.6","Sun God","414.p.31906","Singletary","Devin","88.1","9.5","$5.2","100%"
"79","7","414.l.782339.t.7","Excelsior","414.p.33963","London","Drake","117.8","12.6","$2.0","76%"
"80","7","414.l.782339.t.8","Fly Ravens Fly","414.p.31885","Sanders","Miles","90.2","9.7","$5.6","100%"
"81","7","414.l.782339.t.9","Candyman","414.p.31840","Hockenson","T.J.","71.1","7.8","$4.6","100%"
"82","7","414.l.782339.t.10","KYLE","414.p.32695","Aiyuk","Brandon","97.5","10.5","$2.6","99%"
"83","7","414.l.782339.t.11","Pound Foolish","414.p.26664","Woods","Robert","117.6","12.5","$1.7","82%"
"84","7","414.l.782339.t.12","Team Triple D","414.p.26652","Patterson","Cordarrelle","98.2","10.6","$3.2","99%"
"85","8","414.l.782339.t.12","Team Triple D","414.p.26650","Hopkins","DeAndre","103.0","11.0","$5.2","86%"
"86","8","414.l.782339.t.11","Pound Foolish","414.p.32843","Mooney","Darnell","92.4","10.0","$3.2","100%"
"87","8","414.l.782339.t.10","KYLE","414.p.28403","Gordon","Melvin","102.0","10.9","$2.7","99%"
"88","8","414.l.782339.t.9","Candyman","414.p.28457","Lockett","Tyler","115.0","12.3","$1.6","90%"
"89","8","414.l.782339.t.8","Fly Ravens Fly","414.p.34019","Cook","James","116.8","12.5","$2.0","82%"
"90","8","414.l.782339.t.7","Excelsior","414.p.33391","Lance","Trey","91.7","9.8","$3.0","99%"
"91","8","414.l.782339.t.6","Sun God","414.p.33398","Smith","DeVonta","108.0","11.6","$1.8","98%"
"92","8","414.l.782339.t.5","Secret Hitler","414.p.31902","Henderson Jr.","Darrell","119.6","12.8","$1.9","80%"
"93","8","414.l.782339.t.4","Herbed Lamb","414.p.31934","Mattison","Alexander","125.7","13.5","$1.9","47%"
"94","8","414.l.782339.t.3","Mr. Glass","414.p.5228","Brady","Tom","64.3","7.1","$4.6","100%"
"95","8","414.l.782339.t.2","Pratik Shah's Team","414.p.31928","Knox","Dawson","77.9","8.5","$2.9","100%"
"96","8","414.l.782339.t.1","Live Laugh Olave","414.p.32713","Kmet","Cole","114.3","12.2","$1.7","94%"
"97","9","414.l.782339.t.1","Live Laugh Olave","414.p.33966","Olave","Chris","123.8","13.2","$1.8","54%"
"98","9","414.l.782339.t.2","Pratik Shah's Team","414.p.34007","Pickens","George","121.9","13.0","$1.7","41%"
"99","9","414.l.782339.t.3","Mr. Glass","414.p.33138","Robinson","James","121.4","13.1","$1.8","47%"
"100","9","414.l.782339.t.4","Herbed Lamb","414.p.33495","Carter","Michael","120.2","12.8","$1.6","78%"
"101","9","414.l.782339.t.5","Secret Hitler","414.p.33996","Walker III","Kenneth","113.7","12.2","$2.3","70%"
"102","9","414.l.782339.t.6","Sun God","414.p.33408","Toney","Kadarius","124.0","13.2","$1.5","53%"
"103","9","414.l.782339.t.7","Excelsior","414.p.31144","Valdes-Scantling","Marquez","129.4","13.8","$1.2","20%"
"104","9","414.l.782339.t.8","Fly Ravens Fly","414.p.31074","Hines","Nyheim","125.8","13.4","$1.4","56%"
"105","9","414.l.782339.t.9","Candyman","414.p.34009","Moore","Skyy","130.2","13.9","$1.3","16%"
"106","9","414.l.782339.t.10","KYLE","414.p.30247","Williams","Jamaal","130.1","14.0","$1.3","18%"
"107","9","414.l.782339.t.11","Pound Foolish","414.p.27591","Landry","Jarvis","127.2","13.4","$1.4","11%"
"108","9","414.l.782339.t.12","Team Triple D","414.p.100002","","Buffalo","70.1","7.8","$4.1","100%"
"109","10","414.l.782339.t.12","Team Triple D","414.p.26658","Ertz","Zach","96.6","10.4","$2.4","100%"
"110","10","414.l.782339.t.11","Pound Foolish","414.p.25785","Wilson","Russell","74.5","8.1","$4.3","100%"
"111","10","414.l.782339.t.10","KYLE","414.p.30285","McKenzie","Isaiah","130.3","13.9","$1.3","16%"
"112","10","414.l.782339.t.9","Candyman","414.p.34047","White","Rachaad","129.5","14.3","$1.4","8%"
"113","10","414.l.782339.t.8","Fly Ravens Fly","414.p.33973","Burks","Treylon","130.3","14.0","$1.4","18%"
"114","10","414.l.782339.t.7","Excelsior","414.p.24793","Jones","Julio","124.8","13.2","$1.6","33%"
"115","10","414.l.782339.t.6","Sun God","414.p.31164","Gage","Russell","126.1","13.4","$1.2","38%"
"116","10","414.l.782339.t.5","Secret Hitler","414.p.31883","Brown","A.J.","32.0","3.8","$24.3","100%"
"117","10","414.l.782339.t.4","Herbed Lamb","414.p.32719","Claypool","Chase","125.2","13.2","$1.3","56%"
"118","10","414.l.782339.t.3","Mr. Glass","414.p.29288","Boyd","Tyler","129.7","13.7","$1.3","26%"
"119","10","414.l.782339.t.2","Pratik Shah's Team","414.p.29369","Prescott","Dak","89.3","9.6","$3.2","99%"
"120","10","414.l.782339.t.1","Live Laugh Olave","414.p.33605","Herbert","Khalil","128.2","14.0","$1.5","12%"
"121","11","414.l.782339.t.1","Live Laugh Olave","414.p.31031","Chark","DJ","130.7","13.9","$1.2","9%"
"122","11","414.l.782339.t.2","Pratik Shah's Team","414.p.33399","Fields","Justin","128.6","13.6","$1.3","73%"
"123","11","414.l.782339.t.3","Mr. Glass","414.p.33437","Moore","Rondale","130.3","14.1","$1.2","3%"
"124","11","414.l.782339.t.4","Herbed Lamb","414.p.33538","Gainwell","Kenneth","130.7","14.2","$1.4","17%"
"125","11","414.l.782339.t.5","Secret Hitler","414.p.34107","Allgeier","Tyler","129.8","14.4","$1.3","7%"
"126","11","414.l.782339.t.6","Sun God","414.p.28654","Mostert","Raheem","127.0","13.6","$1.5","28%"
"127","11","414.l.782339.t.7","Excelsior","414.p.33443","Freiermuth","Pat","116.8","12.4","$1.4","98%"
"128","11","414.l.782339.t.8","Fly Ravens Fly","414.p.34079","Spiller","Isaiah","130.1","14.2","$1.3","5%"
"129","11","414.l.782339.t.9","Candyman","414.p.34207","Pacheco","Isiah","128.4","14.2","$1.8","11%"
"130","11","414.l.782339.t.10","KYLE","414.p.29650","McKissic","J.D.","131.3","14.2","$1.2","5%"
"131","11","414.l.782339.t.11","Pound Foolish","414.p.33465","Palmer","Joshua","129.1","14.1","$1.1","2%"
"132","11","414.l.782339.t.12","Team Triple D","414.p.26534","Tucker","Justin","80.1","8.7","$3.1","100%"
"133","12","414.l.782339.t.12","Team Triple D","414.p.33971","Dotson","Jahan","124.8","13.4","$1.3","4%"
"134","12","414.l.782339.t.11","Pound Foolish","414.p.30142","Njoku","David","128.3","13.6","$1.2","80%"
"135","12","414.l.782339.t.10","KYLE","414.p.33477","Collins","Nico","132.3","14.3","$1.2","4%"
"136","12","414.l.782339.t.9","Candyman","414.p.7200","Rodgers","Aaron","91.8","9.9","$2.7","100%"
"137","12","414.l.782339.t.8","Fly Ravens Fly","414.p.100027","","Tampa Bay","83.0","9.0","$2.0","100%"
"138","12","414.l.782339.t.7","Excelsior","414.p.100025","","San Francisco","82.9","9.0","$2.3","100%"
"139","12","414.l.782339.t.6","Sun God","414.p.32231","Meyers","Jakobi","131.5","14.0","$1.2","7%"
"140","12","414.l.782339.t.5","Secret Hitler","414.p.33965","Wilson","Garrett","119.7","12.8","$1.4","6%"
"141","12","414.l.782339.t.4","Herbed Lamb","414.p.32676","Herbert","Justin","38.4","4.5","$15.5","100%"
"142","12","414.l.782339.t.3","Mr. Glass","414.p.32671","Burrow","Joe","55.4","6.2","$6.8","100%"
"143","12","414.l.782339.t.2","Pratik Shah's Team","414.p.24815","Ingram II","Mark","128.0","13.7","$1.2","7%"
"144","12","414.l.782339.t.1","Live Laugh Olave","414.p.32722","Akers","Cam","48.8","5.5","$19.0","99%"
"145","13","414.l.782339.t.1","Live Laugh Olave","414.p.34054","Robinson","Brian","123.7","13.4","$2.4","21%"
"146","13","414.l.782339.t.2","Pratik Shah's Team","414.p.34088","Doubs","Romeo","129.6","14.2","$1.5","8%"
"147","13","414.l.782339.t.3","Mr. Glass","414.p.32846","Osborn","K.J.","","","",""
"148","13","414.l.782339.t.4","Herbed Lamb","414.p.28402","Parker","DeVante","129.2","13.6","$1.2","20%"
"149","13","414.l.782339.t.5","Secret Hitler","414.p.34078","White","Zamir","129.4","14.3","$1.2","2%"
"150","13","414.l.782339.t.6","Sun God","414.p.30150","Jones","Zay","132.7","13.9","$1.1","2%"
"151","13","414.l.782339.t.7","Excelsior","414.p.32892","Benjamin","Eno","","","",""
"152","13","414.l.782339.t.8","Fly Ravens Fly","414.p.33537","McPherson","Evan","87.5","9.5","$2.3","100%"
"153","13","414.l.782339.t.9","Candyman","414.p.34044","Tolbert","Jalen","128.8","13.9","$1.2","3%"
"154","13","414.l.782339.t.10","KYLE","414.p.32788","Okwuegbunam","Albert","123.1","13.1","$1.3","72%"
"155","13","414.l.782339.t.11","Pound Foolish","414.p.31457","Hilliard","Dontrell","","","",""
"156","13","414.l.782339.t.12","Team Triple D","414.p.28267","Brate","Cameron","124.8","13.0","$1.3","3%"
"157","14","414.l.782339.t.12","Team Triple D","414.p.27540","Beckham Jr.","Odell","127.0","13.4","$1.2","3%"
"158","14","414.l.782339.t.11","Pound Foolish","414.p.100033","","Baltimore","131.0","13.9","$1.2","88%"
"159","14","414.l.782339.t.10","KYLE","414.p.33582","Mitchell","Elijah","40.9","4.7","$18.0","99%"
"160","14","414.l.782339.t.9","Candyman","414.p.31882","Smith Jr.","Irv","133.7","14.1","$1.1","61%"
"161","14","414.l.782339.t.8","Fly Ravens Fly","414.p.31981","Renfrow","Hunter","94.3","10.2","$2.4","99%"
"162","14","414.l.782339.t.7","Excelsior","414.p.33998","Robinson","Wan'Dale","","","",""
"163","14","414.l.782339.t.6","Sun God","414.p.30209","Golladay","Kenny","129.4","13.6","$1.1","8%"
"164","14","414.l.782339.t.5","Secret Hitler","414.p.30112","Alie-Cox","Mo","126.2","13.4","$1.1","2%"
"165","14","414.l.782339.t.4","Herbed Lamb","414.p.100018","","New Orleans","119.6","12.7","$1.2","97%"
"166","14","414.l.782339.t.3","Mr. Glass","414.p.100007","","Denver","108.4","11.5","$1.3","98%"
"167","14","414.l.782339.t.2","Pratik Shah's Team","414.p.30346","Butker","Harrison","113.7","12.1","$1.4","98%"
"168","14","414.l.782339.t.1","Live Laugh Olave","414.p.100011","","Indianapolis","109.6","11.7","$1.3","99%"
"169","15","414.l.782339.t.1","Live Laugh Olave","414.p.32858","Bass","Tyler","99.6","10.7","$1.6","100%"
"170","15","414.l.782339.t.2","Pratik Shah's Team","414.p.33975","Pickett","Kenny","120.5","12.7","$1.6","2%"
"171","15","414.l.782339.t.3","Mr. Glass","414.p.31977","Gay","Matt","108.8","11.6","$1.3","100%"
"172","15","414.l.782339.t.4","Herbed Lamb","414.p.31137","Carlson","Daniel","100.2","10.7","$1.4","100%"
"173","15","414.l.782339.t.5","Secret Hitler","414.p.34008","Pierce","Alec","","","",""
"174","15","414.l.782339.t.6","Sun God","414.p.100014","","Los Angeles","98.4","10.5","$1.6","100%"
"175","15","414.l.782339.t.7","Excelsior","414.p.8565","Prater","Matt","132.5","13.9","$1.2","76%"
"176","15","414.l.782339.t.8","Fly Ravens Fly","414.p.28442","Abdullah","Ameer","","","",""
"177","15","414.l.782339.t.9","Candyman","414.p.100017","","New England","134.5","14.2","$1.1","85%"
"178","15","414.l.782339.t.10","KYLE","414.p.33967","Williams","Jameson","135.6","15.2","$1.6","3%"
"179","15","414.l.782339.t.11","Pound Foolish","414.p.27120","McManus","Brandon","136.4","14.2","$1.2","36%"
"180","15","414.l.782339.t.12","Team Triple D","414.p.30777","Tonyan","Robert","130.2","13.8","$1.2","10%"
